step,warp,clutter,variation,entropy,bot_success,mode,human_score,delay,cognitive_load,difficulty,ARI
0,0.29182803953736514,0.10500215104453339,18,0.06768423525412585,0.06520066448906969,weak,0.8255521958982603,3.795096618804715,0.4573685878212878,0.35828683594110844,0.756329505540025
1,0.2894875746222952,0.10266168612946341,18,0.017615149282040127,0.01,strong,0.8241217532229084,3.523875415918031,0.4554618580007958,0.3413593803289907,0.7822188509174097
2,0.28347375132592767,0.09664786283309591,18,0.01789606407753696,0.01,strong,0.8453927537445625,3.436285274184323,0.45060788284708814,0.3365896796139321,0.7922677712236599
3,0.27666500367851604,0.0898391151856843,18,0.012712800217929823,0.01,average,0.8221557824889858,3.4184565924666703,0.44519300529649913,0.32961982290546094,0.7825081198294975
4,0.27047116369913,0.08364527520629825,18,0.06520754062265903,0.06399772926482886,weak,0.79439226046648,3.0237285313564555,0.440343966031533,0.3405192057619135,0.7446256184645517
5,0.26898775552189097,0.0821618670290592,18,0.007188562353795136,0.01,strong,0.8126935856705069,3.6314524048895973,0.4391937728888616,0.321963319138583,0.7790157816378698
6,0.2628965269861828,0.07607063849335106,18,0.0054598796223939445,0.01,strong,0.8058916112145214,3.9605044796892726,0.43451709971794467,0.3167680411482457,0.77647442093171
7,0.25695328945956264,0.07012740096673087,18,0.008871118497567321,0.01,strong,0.836626356191387,3.0776727280948477,0.4300277668453956,0.31330207993824866,0.7906516522922993
8,0.24998503306810085,0.06315914457526908,18,0.009160261599729361,0.011882175222355275,average,0.8388019515917312,3.1417144947387534,0.42486073370441263,0.3082217897279143,0.7912917203934278
9,0.24297482380781796,0.056148935314986194,18,0.01187849009172836,0.01,strong,0.8258560765446339,3.381696803126461,0.41977283658984127,0.3039493611609426,0.7867402983289911
10,0.23641571162443398,0.05,18,0.08923294086312215,0.09224147392426914,weak,0.8760609832121709,3.449243484235587,0.4152264719019905,0.32260933170451,0.7704578460091049
11,0.23363453805132547,0.05,18,0.08661565598133267,0.09190421062611216,weak,0.855772029732509,3.082792430519917,0.41401300728892104,0.3206106816269037,0.7616794504351881
12,0.23147188300791308,0.05,18,0.017308857154562343,0.016264539179538566,average,0.800364106759511,3.0473045352707024,0.413074385697209,0.29888002038716055,0.7729568033722717
13,0.22618922216707732,0.05,18,0.10045896941392263,0.09947466323457702,weak,0.8548992574997307,3.48921074616274,0.41080007480164243,0.3215507431694021,0.757785993102379
14,0.2247810297401325,0.05,18,0.012986691773291183,0.013564933185232386,average,0.8342592422613584,2.992137310843349,0.4101982594153077,0.29470724449087793,0.789841714635169
15,0.2180092667060643,0.05,18,0.010711843725680136,0.014311064767653679,average,0.8317894536271548,3.7427938485475196,0.4073306230519557,0.29115715371324263,0.7887495596154515
